lat,temperature,humidity,cloudiness,windspeed
19.93,68.234,77,3,3.21671972
-9.2,73.72400000000002,74,65,1.8790296
45.12,43.95199999999998,32,51,3.1607962200000004
-35.1,63.266000000000005,72,40,12.9966214
36.95,82.66999999999996,39,75,18.342908
68.82,23.26999999999996,38,46,9.171454
47.93,39.469999999999956,86,90,12.750558000000002
21.35,88.26799999999999,48,1,10.289924
44.15,44.86999999999996,75,75,16.105968
52.47,29.48000000000004,82,0,2.29062656
-32.49,65.26400000000004,67,38,20.803542000000004
3.17,82.66999999999996,83,75,2.23694
29.85,39.97400000000001,66,0,3.20106114
-25.41,54.806000000000026,76,0,2.0356154
26.56,84.46999999999997,54,0,4.697574
24.68,66.99199999999999,80,0,2.87894178
30.78,68.99000000000002,95,0,5.8294656400000004
8.25,69.20600000000003,96,100,4.08465244
22.89,83.26400000000004,83,75,8.052984
-28.65,87.27799999999996,65,15,19.461378
-10.16,84.46999999999997,58,20,6.934514000000001
31.32,80.27599999999998,62,0,4.0041226000000005
14.9,77.14399999999998,87,11,9.878327040000002
71.98,11.569999999999958,95,100,12.036974140000002
43.36,44.86999999999996,43,52,1.11175918
55.1,34.06999999999996,80,90,5.10693402
59.58,27.338000000000044,58,10,12.85569418
-6.22,84.03800000000004,70,100,4.04662446
6.12,75.46999999999997,100,75,3.35541
34.92,77.26999999999995,64,19,4.697574
35.63,45.248000000000026,86,100,3.8274043400000006
-31.97,68.26999999999995,60,75,11.408394
7.35,71.86999999999996,95,97,1.6956005200000002
45.05,45.877999999999965,41,11,8.73301376
45.36,50.26999999999996,70,75,5.816044000000001
-34.48,52.411999999999956,83,100,9.086450280000001
-12.02,64.13000000000005,92,100,7.419929980000001
65.28,30.46999999999996,74,75,13.869028000000002
9.0,73.058,94,72,2.0870650200000003
-19.98,71.86999999999996,83,75,5.816044000000001
55.81,37.742,93,99,6.6213424000000005
-23.68,68.26999999999995,77,40,5.816044000000001
36.01,71.27599999999998,68,75,3.5164696800000006
-30.3,86.26999999999995,69,1,21.922012000000002
39.28,48.469999999999956,76,20,3.35541
60.47,25.951999999999977,84,100,22.50585334
35.3,73.34600000000006,34,54,5.679590660000001
-8.93,79.06999999999996,40,75,4.086889380000001
23.08,66.46999999999997,93,61,1.6978374600000001
-23.49,67.49600000000005,63,98,6.3394879600000005
7.04,86.26999999999995,66,75,6.934514000000001
40.6,62.27599999999999,82,20,12.750558000000002
37.57,59.26999999999996,93,90,3.35541
63.44,48.48800000000004,86,100,27.84766606
-32.25,82.66999999999996,21,75,14.987498000000002
-20.74,77.43200000000002,60,0,17.70090622
12.18,76.56799999999998,70,76,8.37062948
62.16,31.333999999999993,95,19,6.78687596
-54.81,43.06999999999996,80,0,3.35541
-2.67,82.61600000000001,76,85,7.65928256
-16.7,79.96999999999997,77,28,9.63673752
-42.88,61.26799999999999,47,20,8.052984
33.08,64.66999999999996,59,20,4.697574
43.74,53.27599999999999,80,100,12.9966214
0.12,79.71799999999999,86,99,4.61480722
44.17,49.55,62,98,7.31926768
70.86,36.98599999999997,66,91,4.34190054
-3.71,80.86999999999996,74,40,16.105968
1.58,77.26999999999995,100,40,4.534277380000001
69.22,23.26999999999996,38,46,9.171454
2.82,82.66999999999996,78,75,2.23694
32.73,45.76999999999996,93,99,0.93727786
50.23,41.26999999999996,93,40,8.052984
9.19,81.17599999999999,76,100,4.5432251400000006
42.84,54.12200000000004,38,100,8.1760157
59.7,37.66999999999996,92,75,8.94776
38.73,71.86999999999996,83,75,23.59076924
5.39,69.70999999999998,94,100,1.7783673000000002
71.97,9.301999999999975,97,99,3.9079341800000007
-35.97,44.851999999999975,90,0,4.0041226000000005
-27.15,64.66999999999996,93,75,10.289924
34.64,71.27599999999998,87,75,10.289924
39.95,53.27599999999999,57,1,12.750558000000002
68.75,29.425999999999988,92,100,17.342995820000002
35.36,70.26799999999999,77,90,5.816044000000001
77.48,18.608000000000004,97,100,5.22101796
43.66,49.26199999999996,75,1,8.818017480000002
19.17,67.55000000000001,98,42,3.38001634
26.09,64.88599999999997,76,34,3.2681693400000005
66.04,30.001999999999974,95,100,12.99214752
-41.87,46.66999999999996,100,20,9.061843940000001
23.2,72.10399999999996,62,0,4.5723053600000005
69.44,21.469999999999956,92,90,13.869028000000002
40.48,56.06600000000001,57,0,1.7336285000000002
14.4,69.76400000000004,68,7,2.7917011200000004
61.22,40.26199999999996,41,75,12.750558000000002
45.6,55.66999999999996,93,100,9.171454
-13.44,84.308,21,25,4.11820654
43.97,61.069999999999965,48,1,4.697574
-36.72,52.069999999999965,93,20,2.23694
48.58,59.26999999999996,100,100,24.158952000000003
-28.46,70.06999999999996,16,1,1.11847
53.6,39.469999999999956,86,69,15.3677778
-6.13,70.484,92,100,3.7781916600000005
-40.81,43.969999999999956,74,90,10.853632880000001
53.65,37.66999999999996,100,90,2.23694
64.84,35.86999999999996,37,40,11.408394
73.51,28.543999999999972,78,100,15.53107442
26.89,52.98800000000004,47,0,5.84288728
-16.92,92.26400000000004,65,37,9.171454
-42.72,54.30199999999998,68,0,14.78841034
56.37,38.408,90,0,2.53668996
-21.21,79.06999999999996,57,52,9.171454
43.91,52.358000000000004,63,0,7.211894560000001
-42.48,46.66999999999996,100,20,3.0802663800000003
50.04,31.69399999999997,64,0,7.068730400000001
18.65,73.72400000000002,92,86,1.4383524200000002
